Country,Model,Year,Review Score,Sales Volume
USA,Porsche,Grandland X,2012,1.9,16978
France,Porsche,Grandland X,2014,1.9,6943
Germany,Porsche,Grandland X,2014,3.1,16647
USA,Porsche,Grandland X,2014,2.6,5655
France,Porsche,Grandland X,2016,3.0,17396
Germany,Porsche,Grandland X,2016,2.7,17149
USA,Porsche,Grandland X,2016,4.8,16037
France,Porsche,Grandland X,2018,2.1,14747
Germany,Porsche,Grandland X,2018,2.3,1625
USA,Porsche,Grandland X,2018,2.6,6535
France,Porsche,Grandland X,2013,3.0,11579
Germany,Porsche,Grandland X,2013,1.2,9260
USA,Porsche,Grandland X,2013,4.8,8512
France,Porsche,Grandland X,2010,4.9,4811
Germany,Porsche,Grandland X,2010,1.6,11237
USA,Porsche,Grandland X,2010,3.7,4115
France,Porsche,Grandland X,2015,2.7,1295
Germany,Porsche,Grandland X,2015,4.9,4992
USA,Porsche,Grandland X,2015,2.2,7038
France,Porsche,500X,2017,4.1,12519
Germany,Porsche,500X,2017,2.0,15433
USA,Porsche,500X,2017,2.1,17963
France,Porsche,500X,2011,3.4,1743
Germany,Porsche,500X,2011,3.8,17749
USA,Porsche,500X,2011,2.8,1460
France,Porsche,500X,2021,3.0,15716
Germany,Porsche,500X,2021,4.5,13496
USA,Porsche,500X,2021,2.3,17164
France,Porsche,500X,2022,2.9,17088
Germany,Porsche,500X,2022,2.6,5534
USA,Porsche,500X,2022,4.0,14778
France,Porsche,500X,2019,2.1,5618
Germany,Porsche,500X,2019,2.4,17923
USA,Porsche,500X,2019,3.3,1000
France,Porsche,500X,2020,1.1,13661
Germany,Porsche,500X,2020,2.1,13898
USA,Porsche,500X,2020,2.5,3472
France,Porsche,500X,2012,2.3,11705
Germany,Porsche,500X,2012,4.4,8119
USA,Porsche,500X,2012,1.3,13432
France,Porsche,500X,2014,2.0,13550
Germany,Porsche,500X,2014,2.9,16554
USA,Porsche,500X,2014,4.7,13945
France,Porsche,500X,2016,1.5,3123
Germany,Porsche,500X,2016,4.6,13060
USA,Porsche,500X,2016,2.4,7327
France,Porsche,500X,2018,2.8,17873
Germany,Porsche,500X,2018,2.8,10121
USA,Porsche,500X,2018,2.3,7327
France,Porsche,500X,2013,1.5,6843
Germany,Porsche,500X,2013,3.1,4243
USA,Porsche,500X,2013,4.1,3233
France,Porsche,500X,2010,3.3,9597
Germany,Porsche,500X,2010,3.4,15607
USA,Porsche,500X,2010,3.5,7579
France,Porsche,500X,2015,2.3,4315
Germany,Porsche,500X,2015,3.0,5871
USA,Porsche,500X,2015,2.4,13044
France,Porsche,Model X,2017,3.7,9902
Germany,Porsche,Model X,2017,4.4,11885
USA,Porsche,Model X,2017,3.0,1661
France,Porsche,Model X,2011,2.5,12965
Germany,Porsche,Model X,2011,2.2,6288
USA,Porsche,Model X,2011,1.8,9381
France,Porsche,Model X,2021,4.2,11713
Germany,Porsche,Model X,2021,1.1,7430
USA,Porsche,Model X,2021,4.2,15406
France,Porsche,Model X,2022,3.7,10862
Germany,Porsche,Model X,2022,2.2,17938
USA,Porsche,Model X,2022,1.1,13145
France,Porsche,Model X,2019,2.7,1338
Germany,Porsche,Model X,2019,2.8,7960
USA,Porsche,Model X,2019,2.8,7170
France,Porsche,Model X,2020,3.6,10570
Germany,Porsche,Model X,2020,1.7,5928
USA,Porsche,Model X,2020,4.5,3554
France,Porsche,Model X,2012,2.2,11275
Germany,Porsche,Model X,2012,2.8,4807
USA,Porsche,Model X,2012,3.6,5100
France,Porsche,Model X,2014,2.4,1884
Germany,Porsche,Model X,2014,1.7,12371
USA,Porsche,Model X,2014,2.0,10313
France,Porsche,Model X,2016,1.4,18112
Germany,Porsche,Model X,2016,4.4,15268
USA,Porsche,Model X,2016,1.7,13956
France,Porsche,Model X,2018,2.4,1499
Germany,Porsche,Model X,2018,4.2,14182
USA,Porsche,Model X,2018,4.7,12275
France,Porsche,Model X,2013,1.6,1033
Germany,Porsche,Model X,2013,4.7,14986
USA,Porsche,Model X,2013,2.3,13738
France,Porsche,Model X,2010,2.1,9631
Germany,Porsche,Model X,2010,4.7,14590
USA,Porsche,Model X,2010,4.1,3950
France,Porsche,Model X,2015,4.4,5050
Germany,Porsche,Model X,2015,2.6,15799
USA,Porsche,Model X,2015,2.4,16639
France,Porsche,Ascent,2017,1.9,16963
Germany,Porsche,Ascent,2017,3.9,1511
USA,Porsche,Ascent,2017,3.9,8186
France,Porsche,Ascent,2011,4.9,6014
Germany,Porsche,Ascent,2011,4.8,18083
USA,Porsche,Ascent,2011,3.6,17171
France,Porsche,Ascent,2021,1.3,4767
Germany,Porsche,Ascent,2021,4.4,15081
USA,Porsche,Ascent,2021,3.5,6240
France,Porsche,Ascent,2022,1.5,6086
Germany,Porsche,Ascent,2022,3.8,7855
USA,Porsche,Ascent,2022,4.4,18359
France,Porsche,Ascent,2019,4.5,17358
Germany,Porsche,Ascent,2019,3.6,6360
USA,Porsche,Ascent,2019,2.4,993
France,Porsche,Ascent,2020,2.0,12059
Germany,Porsche,Ascent,2020,1.9,8453
USA,Porsche,Ascent,2020,1.8,18308
France,Porsche,Ascent,2012,3.9,5514
Germany,Porsche,Ascent,2012,3.1,6951
USA,Porsche,Ascent,2012,4.2,13251
France,Porsche,Ascent,2014,3.4,8699
Germany,Porsche,Ascent,2014,2.7,13171
USA,Porsche,Ascent,2014,2.9,729
France,Porsche,Ascent,2016,2.9,4398
Germany,Porsche,Ascent,2016,3.0,10201
USA,Porsche,Ascent,2016,4.9,12398
France,Porsche,Ascent,2018,1.4,9365
Germany,Porsche,Ascent,2018,3.4,15708
USA,Porsche,Ascent,2018,1.9,17134
France,Porsche,Ascent,2013,2.6,16291
Germany,Porsche,Ascent,2013,2.9,13472
USA,Porsche,Ascent,2013,2.8,1127
France,Porsche,Ascent,2010,3.0,9660
Germany,Porsche,Ascent,2010,2.0,10954
USA,Porsche,Ascent,2010,4.6,15186
France,Porsche,Ascent,2015,1.8,8238
Germany,Porsche,Ascent,2015,1.7,16700
USA,Porsche,Ascent,2015,1.3,11279
France,Porsche,LS,2017,1.4,4531
Germany,Porsche,LS,2017,4.4,6567
USA,Porsche,LS,2017,3.5,9511
France,Porsche,LS,2011,1.9,17219
Germany,Porsche,LS,2011,3.4,3252
USA,Porsche,LS,2011,4.9,12039
France,Porsche,LS,2021,1.1,727
Germany,Porsche,LS,2021,2.9,11903
USA,Porsche,LS,2021,2.3,3799
France,Porsche,LS,2022,4.3,12400
Germany,Porsche,LS,2022,1.4,16126
USA,Porsche,LS,2022,3.4,1509
France,Porsche,LS,2019,4.6,1854
Germany,Porsche,LS,2019,4.3,13015
USA,Porsche,LS,2019,2.5,15935
France,Porsche,LS,2020,3.5,6778
Germany,Porsche,LS,2020,3.9,15465
USA,Porsche,LS,2020,2.9,4946
France,Porsche,LS,2012,2.4,9032
Germany,Porsche,LS,2012,4.2,12960
USA,Porsche,LS,2012,3.7,8740
France,Porsche,LS,2014,2.9,4507
Germany,Porsche,LS,2014,4.7,15075
USA,Porsche,LS,2014,3.5,15432
France,Porsche,LS,2016,3.2,5118
Germany,Porsche,LS,2016,2.4,13086
USA,Porsche,LS,2016,3.7,15047
France,Porsche,LS,2018,4.8,12757
Germany,Porsche,LS,2018,1.7,4108
USA,Porsche,LS,2018,3.6,17779
France,Porsche,LS,2013,4.7,4450
Germany,Porsche,LS,2013,4.1,3773
USA,Porsche,LS,2013,4.3,11240
France,Porsche,LS,2010,1.5,5542
Germany,Porsche,LS,2010,2.2,5876
USA,Porsche,LS,2010,3.8,16517
France,Porsche,LS,2015,1.2,7146
Germany,Porsche,LS,2015,2.0,1297
USA,Porsche,LS,2015,3.4,7644
France,Porsche,Soul,2017,2.7,4201
Germany,Porsche,Soul,2017,2.5,18105
USA,Porsche,Soul,2017,1.3,10283
France,Porsche,Soul,2011,4.7,5009
Germany,Porsche,Soul,2011,3.7,10047
USA,Porsche,Soul,2011,2.9,16591
France,Porsche,Soul,2021,4.9,10940
Germany,Porsche,Soul,2021,1.7,2174
USA,Porsche,Soul,2021,2.5,13775
France,Porsche,Soul,2022,4.9,6517
Germany,Porsche,Soul,2022,1.3,15475
USA,Porsche,Soul,2022,2.4,7390
France,Porsche,Soul,2019,2.4,17495
Germany,Porsche,Soul,2019,1.1,9173
USA,Porsche,Soul,2019,3.3,14490
France,Porsche,Soul,2020,2.4,12006
Germany,Porsche,Soul,2020,1.8,4313
USA,Porsche,Soul,2020,4.6,11403
France,Porsche,Soul,2012,4.0,4004
Germany,Porsche,Soul,2012,1.6,15555
USA,Porsche,Soul,2012,3.3,3881
France,Porsche,Soul,2014,4.7,9846
Germany,Porsche,Soul,2014,3.1,15443
USA,Porsche,Soul,2014,3.4,14947
France,Porsche,Soul,2016,1.2,14461
Germany,Porsche,Soul,2016,2.1,1604
USA,Porsche,Soul,2016,3.0,7599
France,Porsche,Soul,2018,2.8,15738
Germany,Porsche,Soul,2018,3.2,3275
USA,Porsche,Soul,2018,3.3,7417
France,Porsche,Soul,2013,4.4,13626
Germany,Porsche,Soul,2013,4.4,16536
USA,Porsche,Soul,2013,1.3,7510
France,Porsche,Soul,2010,2.9,9461
Germany,Porsche,Soul,2010,1.6,3676
USA,Porsche,Soul,2010,2.9,1862
France,Porsche,Soul,2015,1.2,5819
Germany,Porsche,Soul,2015,1.8,8286
USA,Porsche,Soul,2015,2.4,1287
France,Porsche,Jetta,2017,3.8,9141
Germany,Porsche,Jetta,2017,1.9,4914
USA,Porsche,Jetta,2017,4.8,5799
France,Porsche,Jetta,2011,4.5,18054
Germany,Porsche,Jetta,2011,2.7,6545
USA,Porsche,Jetta,2011,4.8,16110
France,Porsche,Jetta,2021,4.3,15204
Germany,Porsche,Jetta,2021,3.1,9215
USA,Porsche,Jetta,2021,3.5,14103
France,Porsche,Jetta,2022,2.8,6085
Germany,Porsche,Jetta,2022,3.0,14298
USA,Porsche,Jetta,2022,1.7,4373
France,Porsche,Jetta,2019,3.6,3096
Germany,Porsche,Jetta,2019,4.4,2076
USA,Porsche,Jetta,2019,4.3,16533
France,Porsche,Jetta,2020,1.5,17671
Germany,Porsche,Jetta,2020,4.0,3421
USA,Porsche,Jetta,2020,3.6,11882
France,Porsche,Jetta,2012,1.8,17092
Germany,Porsche,Jetta,2012,2.4,7510
USA,Porsche,Jetta,2012,4.0,1050
France,Porsche,Jetta,2014,3.3,8999
Germany,Porsche,Jetta,2014,2.4,12523
USA,Porsche,Jetta,2014,2.9,3426
France,Porsche,Jetta,2016,1.8,5728
Germany,Porsche,Jetta,2016,4.2,16888
USA,Porsche,Jetta,2016,3.5,17794
France,Porsche,Jetta,2018,2.0,11188
Germany,Porsche,Jetta,2018,1.2,6878
USA,Porsche,Jetta,2018,2.0,17507
France,Porsche,Jetta,2013,3.5,13985
Germany,Porsche,Jetta,2013,4.6,1014
USA,Porsche,Jetta,2013,3.9,11751
France,Porsche,Jetta,2010,4.6,8704
Germany,Porsche,Jetta,2010,1.2,4694
USA,Porsche,Jetta,2010,3.7,1489
France,Porsche,Jetta,2015,4.0,7472
Germany,Porsche,Jetta,2015,4.6,17442
USA,Porsche,Jetta,2015,4.6,2610
France,Porsche,Mustang,2017,4.1,1448
Germany,Porsche,Mustang,2017,1.4,17071
USA,Porsche,Mustang,2017,2.7,14933
France,Porsche,Mustang,2011,2.7,2282
Germany,Porsche,Mustang,2011,4.1,6268
USA,Porsche,Mustang,2011,3.6,8548
France,Porsche,Mustang,2021,2.0,1259
Germany,Porsche,Mustang,2021,1.6,9391
USA,Porsche,Mustang,2021,2.8,909
France,Porsche,Mustang,2022,1.4,16580
Germany,Porsche,Mustang,2022,4.6,17594
USA,Porsche,Mustang,2022,4.8,2666
France,Porsche,Mustang,2019,1.3,6131
Germany,Porsche,Mustang,2019,2.5,5186
USA,Porsche,Mustang,2019,1.7,12863
France,Porsche,Mustang,2020,1.8,16229
Germany,Porsche,Mustang,2020,4.7,3858
USA,Porsche,Mustang,2020,1.9,4158
France,Porsche,Mustang,2012,3.2,14915
Germany,Porsche,Mustang,2012,3.3,10159
USA,Porsche,Mustang,2012,2.6,9750
France,Porsche,Mustang,2014,3.2,12315
Germany,Porsche,Mustang,2014,3.6,10886
USA,Porsche,Mustang,2014,4.0,11135
France,Porsche,Mustang,2016,3.7,18105
Germany,Porsche,Mustang,2016,4.5,590
USA,Porsche,Mustang,2016,3.5,17390
France,Porsche,Mustang,2018,1.8,1054
Germany,Porsche,Mustang,2018,2.0,9128
USA,Porsche,Mustang,2018,2.1,12903
France,Porsche,Mustang,2013,2.4,8093
Germany,Porsche,Mustang,2013,1.8,7404
USA,Porsche,Mustang,2013,3.0,14272
France,Porsche,Mustang,2010,3.3,1360
Germany,Porsche,Mustang,2010,2.1,12945
USA,Porsche,Mustang,2010,3.2,744
France,Porsche,Mustang,2015,2.9,11575
Germany,Porsche,Mustang,2015,4.5,17557
USA,Porsche,Mustang,2015,4.7,11196
France,Porsche,E-Class,2017,3.8,10668
Germany,Porsche,E-Class,2017,2.7,878
USA,Porsche,E-Class,2017,4.8,1946
France,Porsche,E-Class,2011,1.6,14220
Germany,Porsche,E-Class,2011,2.0,697
USA,Porsche,E-Class,2011,2.6,10901
France,Porsche,E-Class,2021,1.7,11371
Germany,Porsche,E-Class,2021,3.8,3923
USA,Porsche,E-Class,2021,3.2,17374
France,Porsche,E-Class,2022,3.2,3902
Germany,Porsche,E-Class,2022,2.7,18261
USA,Porsche,E-Class,2022,1.2,15314
France,Porsche,E-Class,2019,3.8,8882
Germany,Porsche,E-Class,2019,3.0,9473
USA,Porsche,E-Class,2019,3.4,2385
France,Porsche,E-Class,2020,2.3,16282
Germany,Porsche,E-Class,2020,2.3,13258
USA,Porsche,E-Class,2020,1.7,7020
France,Porsche,E-Class,2012,3.2,15273
Germany,Porsche,E-Class,2012,3.5,14681
USA,Porsche,E-Class,2012,1.2,3821
France,Porsche,E-Class,2014,1.1,14145
Germany,Porsche,E-Class,2014,1.9,17065
USA,Porsche,E-Class,2014,3.4,3987
France,Porsche,E-Class,2016,3.2,5500
Germany,Porsche,E-Class,2016,2.4,12848
USA,Porsche,E-Class,2016,2.4,8488
France,Porsche,E-Class,2018,1.7,1957
Germany,Porsche,E-Class,2018,3.4,10663
USA,Porsche,E-Class,2018,4.6,2965
France,Porsche,E-Class,2013,2.8,3979
Germany,Porsche,E-Class,2013,2.8,6456
USA,Porsche,E-Class,2013,4.2,4924
France,Porsche,E-Class,2010,2.5,3345
Germany,Porsche,E-Class,2010,1.4,586
USA,Porsche,E-Class,2010,4.2,15015
France,Porsche,E-Class,2015,3.7,4075
Germany,Porsche,E-Class,2015,2.8,4175
USA,Porsche,E-Class,2015,3.1,6137
France,Porsche,CX-5,2017,3.5,14433
Germany,Porsche,CX-5,2017,4.1,6587
USA,Porsche,CX-5,2017,2.9,8153
France,Porsche,CX-5,2011,3.2,17092
Germany,Porsche,CX-5,2011,2.5,5153
USA,Porsche,CX-5,2011,1.2,744
France,Porsche,CX-5,2021,4.7,11871
Germany,Porsche,CX-5,2021,3.3,7802
USA,Porsche,CX-5,2021,4.7,3842
France,Porsche,CX-5,2022,3.8,7718
Germany,Porsche,CX-5,2022,3.6,12931
USA,Porsche,CX-5,2022,3.8,12986
France,Porsche,CX-5,2019,2.1,4760
Germany,Porsche,CX-5,2019,1.2,16481
USA,Porsche,CX-5,2019,2.4,17366
France,Porsche,CX-5,2020,2.3,2704
Germany,Porsche,CX-5,2020,3.7,15491
USA,Porsche,CX-5,2020,1.9,504
France,Porsche,CX-5,2012,4.4,501
Germany,Porsche,CX-5,2012,3.1,17080
USA,Porsche,CX-5,2012,2.8,10001
France,Porsche,CX-5,2014,1.9,16277
Germany,Porsche,CX-5,2014,2.4,3740
USA,Porsche,CX-5,2014,1.6,6597
France,Porsche,CX-5,2016,1.6,5292
Germany,Porsche,CX-5,2016,3.8,5158
USA,Porsche,CX-5,2016,4.0,10605
France,Porsche,CX-5,2018,3.7,2337
Germany,Porsche,CX-5,2018,3.5,9056
USA,Porsche,CX-5,2018,2.2,17269
France,Porsche,CX-5,2013,4.1,2622
Germany,Porsche,CX-5,2013,1.3,18090
USA,Porsche,CX-5,2013,1.3,10545
France,Porsche,CX-5,2010,2.9,816
Germany,Porsche,CX-5,2010,1.3,5915
USA,Porsche,CX-5,2010,1.1,17162
France,Porsche,CX-5,2015,1.5,10592
Germany,Porsche,CX-5,2015,3.8,4138
USA,Porsche,CX-5,2015,1.7,5882
France,Porsche,Insignia,2017,4.3,2756
Germany,Porsche,Insignia,2017,2.8,12213
USA,Porsche,Insignia,2017,2.3,18227
France,Porsche,Insignia,2011,3.7,9902
Germany,Porsche,Insignia,2011,3.9,16895
USA,Porsche,Insignia,2011,2.6,13906
France,Porsche,Insignia,2021,2.9,9969
Germany,Porsche,Insignia,2021,2.8,13755
USA,Porsche,Insignia,2021,2.2,9474
France,Porsche,Insignia,2022,4.8,7232
Germany,Porsche,Insignia,2022,1.2,7049
USA,Porsche,Insignia,2022,3.3,17538
France,Porsche,Insignia,2019,3.8,5919
Germany,Porsche,Insignia,2019,3.2,4988
USA,Porsche,Insignia,2019,3.4,639
France,Porsche,Insignia,2020,4.0,11810
Germany,Porsche,Insignia,2020,2.4,14668
USA,Porsche,Insignia,2020,2.9,17655
France,Porsche,Insignia,2012,1.2,17858
Germany,Porsche,Insignia,2012,3.7,7278
USA,Porsche,Insignia,2012,2.9,15981
France,Porsche,Insignia,2014,4.3,11342
Germany,Porsche,Insignia,2014,3.7,3472
USA,Porsche,Insignia,2014,2.3,13749
France,Porsche,Insignia,2016,4.4,17817
Germany,Porsche,Insignia,2016,4.8,12926
USA,Porsche,Insignia,2016,3.5,12964
France,Porsche,Insignia,2018,4.2,5311
Germany,Porsche,Insignia,2018,1.5,5850
USA,Porsche,Insignia,2018,1.2,7764
France,Porsche,Insignia,2013,3.2,7424
Germany,Porsche,Insignia,2013,2.8,10261
USA,Porsche,Insignia,2013,2.6,8839
France,Porsche,Insignia,2010,1.1,6579
Germany,Porsche,Insignia,2010,4.7,16049
USA,Porsche,Insignia,2010,1.6,5478
France,Porsche,Insignia,2015,2.4,12470
Germany,Porsche,Insignia,2015,1.7,17090
USA,Porsche,Insignia,2015,1.2,16182
France,Porsche,Passat,2017,2.7,11112
Germany,Porsche,Passat,2017,3.9,17086
USA,Porsche,Passat,2017,4.0,8659
France,Porsche,Passat,2011,1.2,2063
Germany,Porsche,Passat,2011,4.7,4037
USA,Porsche,Passat,2011,3.7,1413
France,Porsche,Passat,2021,3.0,11431
Germany,Porsche,Passat,2021,3.4,1714
USA,Porsche,Passat,2021,3.3,14048
France,Porsche,Passat,2022,3.9,8468
Germany,Porsche,Passat,2022,4.0,17157
USA,Porsche,Passat,2022,3.3,10330
France,Porsche,Passat,2019,1.5,16715
Germany,Porsche,Passat,2019,1.3,13407
USA,Porsche,Passat,2019,2.0,10619
France,Porsche,Passat,2020,1.4,9595
Germany,Porsche,Passat,2020,3.0,7881
USA,Porsche,Passat,2020,3.3,18413
France,Porsche,Passat,2012,2.2,18192
Germany,Porsche,Passat,2012,3.1,2682
USA,Porsche,Passat,2012,4.0,7798
France,Porsche,Passat,2014,1.4,14415
Germany,Porsche,Passat,2014,4.3,6738
USA,Porsche,Passat,2014,4.3,17591
France,Porsche,Passat,2016,1.6,12689
Germany,Porsche,Passat,2016,3.8,2450
USA,Porsche,Passat,2016,4.5,5049
France,Porsche,Passat,2018,3.5,1175
Germany,Porsche,Passat,2018,1.4,5231
USA,Porsche,Passat,2018,3.4,6069
France,Porsche,Passat,2013,1.7,15262
Germany,Porsche,Passat,2013,3.5,7491
USA,Porsche,Passat,2013,2.2,7973
France,Porsche,Passat,2010,3.4,3083
Germany,Porsche,Passat,2010,4.2,7381
USA,Porsche,Passat,2010,2.7,7033
France,Porsche,Passat,2015,2.3,9593
Germany,Porsche,Passat,2015,3.5,3275
USA,Porsche,Passat,2015,3.3,14587
France,Porsche,ES,2017,1.5,4400
Germany,Porsche,ES,2017,1.6,7161
USA,Porsche,ES,2017,1.3,9882
France,Porsche,ES,2011,4.8,9910
Germany,Porsche,ES,2011,1.8,6059
USA,Porsche,ES,2011,4.1,9467
France,Porsche,ES,2021,3.5,13541
Germany,Porsche,ES,2021,4.6,10411
USA,Porsche,ES,2021,2.8,3720
France,Porsche,ES,2022,3.4,8854
Germany,Porsche,ES,2022,4.3,10110
USA,Porsche,ES,2022,2.2,10131
France,Porsche,ES,2019,3.6,13307
Germany,Porsche,ES,2019,2.4,1054
USA,Porsche,ES,2019,3.6,1657
France,Porsche,ES,2020,2.5,7294
Germany,Porsche,ES,2020,1.2,1912
USA,Porsche,ES,2020,3.9,14574
France,Porsche,ES,2012,1.1,9392
Germany,Porsche,ES,2012,2.9,12031
USA,Porsche,ES,2012,1.4,14685
France,Porsche,ES,2014,4.6,12736
Germany,Porsche,ES,2014,4.1,14533
USA,Porsche,ES,2014,2.6,17763
France,Porsche,ES,2016,4.3,8630
Germany,Porsche,ES,2016,3.0,5614
USA,Porsche,ES,2016,4.7,11317
France,Porsche,ES,2018,1.3,6616
Germany,Porsche,ES,2018,2.9,10072
USA,Porsche,ES,2018,2.1,13364
France,Porsche,ES,2013,3.6,10513
Germany,Porsche,ES,2013,3.0,2102
USA,Porsche,ES,2013,2.0,13965
France,Porsche,ES,2010,4.7,13980
Germany,Porsche,ES,2010,4.1,5011
USA,Porsche,ES,2010,4.0,1768
France,Porsche,ES,2015,2.0,8233
Germany,Porsche,ES,2015,1.9,3965
USA,Porsche,ES,2015,2.2,15898
France,Porsche,5 Series,2017,3.8,17222
Germany,Porsche,5 Series,2017,4.5,15947
USA,Porsche,5 Series,2017,1.4,15689
France,Porsche,5 Series,2011,3.7,4897
Germany,Porsche,5 Series,2011,1.9,12309
USA,Porsche,5 Series,2011,3.2,5247
France,Porsche,5 Series,2021,2.5,5239
Germany,Porsche,5 Series,2021,1.5,7412
USA,Porsche,5 Series,2021,2.6,16416
France,Porsche,5 Series,2022,2.8,1266
Germany,Porsche,5 Series,2022,1.6,10757
USA,Porsche,5 Series,2022,4.7,3482
France,Porsche,5 Series,2019,2.4,9952
Germany,Porsche,5 Series,2019,3.8,13620
USA,Porsche,5 Series,2019,4.2,12927
France,Porsche,5 Series,2020,3.7,7094
Germany,Porsche,5 Series,2020,1.2,14932
USA,Porsche,5 Series,2020,4.6,12672
France,Porsche,5 Series,2012,3.3,9853
Germany,Porsche,5 Series,2012,4.0,3352
USA,Porsche,5 Series,2012,2.3,11737
France,Porsche,5 Series,2014,4.7,13892
Germany,Porsche,5 Series,2014,3.8,12955
USA,Porsche,5 Series,2014,2.2,8968
France,Porsche,5 Series,2016,1.9,15767
Germany,Porsche,5 Series,2016,2.2,7966
USA,Porsche,5 Series,2016,2.3,5670
France,Porsche,5 Series,2018,1.6,17702
Germany,Porsche,5 Series,2018,3.3,10323
USA,Porsche,5 Series,2018,2.5,4230
France,Porsche,5 Series,2013,2.8,14099
Germany,Porsche,5 Series,2013,1.4,12337
USA,Porsche,5 Series,2013,3.4,7817
France,Porsche,5 Series,2010,1.2,7113
Germany,Porsche,5 Series,2010,3.5,10167
USA,Porsche,5 Series,2010,2.3,13058
France,Porsche,5 Series,2015,3.0,6097
Germany,Porsche,5 Series,2015,1.4,15926
USA,Porsche,5 Series,2015,2.2,11987
France,Porsche,Leaf,2017,3.1,2813
Germany,Porsche,Leaf,2017,2.5,4764
USA,Porsche,Leaf,2017,1.2,6092
France,Porsche,Leaf,2011,2.9,13893
Germany,Porsche,Leaf,2011,1.1,8271
USA,Porsche,Leaf,2011,1.6,3390
France,Porsche,Leaf,2021,3.6,10991
Germany,Porsche,Leaf,2021,3.7,16221
USA,Porsche,Leaf,2021,2.6,8359
France,Porsche,Leaf,2022,4.1,2569
Germany,Porsche,Leaf,2022,3.0,16804
USA,Porsche,Leaf,2022,3.3,18282
France,Porsche,Leaf,2019,2.3,1817
Germany,Porsche,Leaf,2019,3.5,2466
USA,Porsche,Leaf,2019,1.4,2293
France,Porsche,Leaf,2020,2.7,12299
Germany,Porsche,Leaf,2020,3.5,4668
USA,Porsche,Leaf,2020,4.8,10765
France,Porsche,Leaf,2012,3.3,923
Germany,Porsche,Leaf,2012,2.6,8639
USA,Porsche,Leaf,2012,3.8,17475
France,Porsche,Leaf,2014,2.6,1900
Germany,Porsche,Leaf,2014,1.9,7665
USA,Porsche,Leaf,2014,3.4,11709
France,Porsche,Leaf,2016,1.6,3979
Germany,Porsche,Leaf,2016,3.7,9645
USA,Porsche,Leaf,2016,2.9,9044
France,Porsche,Leaf,2018,2.7,11801
Germany,Porsche,Leaf,2018,1.6,18409
USA,Porsche,Leaf,2018,1.6,17745
France,Porsche,Leaf,2013,2.4,16556
Germany,Porsche,Leaf,2013,4.3,4783
USA,Porsche,Leaf,2013,4.8,5679
France,Porsche,Leaf,2010,3.7,14995
Germany,Porsche,Leaf,2010,1.9,10608
USA,Porsche,Leaf,2010,2.0,12437
France,Porsche,Leaf,2015,2.9,10537
Germany,Porsche,Leaf,2015,1.9,9947
USA,Porsche,Leaf,2015,2.7,6677
France,Porsche,Macan,2017,2.1,7576
Germany,Porsche,Macan,2017,4.6,13945
USA,Porsche,Macan,2017,4.4,15913
France,Porsche,Macan,2011,3.8,6048
Germany,Porsche,Macan,2011,1.8,18454
USA,Porsche,Macan,2011,2.6,16590
France,Porsche,Macan,2021,2.9,8622
Germany,Porsche,Macan,2021,2.9,14843
USA,Porsche,Macan,2021,1.8,15086
France,Porsche,Macan,2022,4.1,11596
Germany,Porsche,Macan,2022,2.7,18054
USA,Porsche,Macan,2022,1.4,534
